Filename,Predicted phases,Confidence
AgCr2Te4-J113-2.txt,['SiTe2_164'],[np.float64(97.5)]
BiSiTe3-1.txt,['SiTe2_164'],[np.float64(80.5)]
BiSiTe3-2.txt,['SiTe2_164'],[np.float64(74.0)]
BiSiTe3-3.txt,['SiTe2_164'],[np.float64(83.0)]
BiSiTe3-4.txt,['SiTe2_164'],[np.float64(69.5)]
BiSiTe3-5.txt,['SiTe2_164'],[np.float64(77.0)]
BiSiTe3-6.txt,['SiTe2_164'],[np.float64(84.0)]
BiSiTe3-7.txt,['SiTe2_164'],[np.float64(72.5)]
BiSiTe3-8.txt,['SiTe2_164'],[np.float64(81.0)]
Cr5Te8-powder.txt,"['CrSiTe3_148', 'SiTe2_164']","[np.float64(56.0), np.float64(47.0)]"
CrAlTe-1.txt,['CrSiTe3_148'],[np.float64(71.0)]
CrAlTe-2.txt,['CrSiTe3_148'],[np.float64(74.5)]
CrAlTe-3.txt,['CrSiTe3_148'],[np.float64(69.0)]
CrSiTe3  PURE FZ40.txt,['CrSiTe3_148'],[np.float64(88.5)]
CrSiTe3 B027.txt,['CrSiTe3_148'],[np.float64(87.0)]
CrSiTe3 B028.txt,['CrSiTe3_148'],[np.float64(47.5)]
CrSiTe3 pure B025-2.txt,['CrSiTe3_148'],[np.float64(85.5)]
CrSiTe3 pure B025-3.txt,['CrSiTe3_148'],[np.float64(91.0)]
CrSiTe3 pure B025.txt,"['CrSiTe3_148', 'SiTe2_164']","[np.float64(59.5), np.float64(46.0)]"
CrSiTe3_1.txt,['SiTe2_164'],[np.float64(60.5)]
CrSiTe3_148_Theoretical.txt,['CrSiTe3_148'],[np.float64(100.0)]
CrSiTe3_180_10_70_0.01_txt.txt,['CrSiTe3_148'],[np.float64(71.0)]
CrSiTe3_2.txt,"['SiTe2_164', 'CrSiTe3_148']","[np.float64(60.0), np.float64(42.0)]"
CrSiTe3_300_10_80_0.01.txt,['CrSiTe3_148'],[np.float64(82.0)]
CrSiTe3_360_10_70_0.01_txt.txt,"['CrSiTe3_148', 'SiTe2_164']","[np.float64(58.0), np.float64(42.0)]"
CrSiTe3_back_10_70_0.01_Pr_1.txt,['CrSiTe3_148'],[np.float64(68.5)]
CrSiTe3_rotation_0.01_10_80_0.01.txt,['CrSiTe3_148'],[np.float64(63.0)]
CrTe2_JBX_J197_CT.txt,['SiTe2_164'],[np.float64(97.0)]
Si2Te3.txt,['SiTe2_164'],[np.float64(61.5)]
SiBiTe3_148_Theoretical.txt,['CrSiTe3_148'],[np.float64(74.0)]
SiTe2_164_Theoretical.txt,['SiTe2_164'],[np.float64(100.0)]
